,Index (Average of months),,,Index (Average of months),,,,Index (Average of months),,,
"Year
",CPI - AL,,"Year
",CPI - IW,CPI – IW (Food and Beverages),,"Year
",Rural,Urban,Combined,CPI All India Combined: Food and beverages
,(Base : 1960 = 100),,,(Base : 1960 = 100),,,,(Base : 2012 = 100 for New CPI ),,,
1970-71   ,194,,1970-71   ,186,202,,2011-12   ,92.8,93.8,93.3,92.9
1971-72   ,196,,1971-72   ,192,205,,2012-13   ,102.7,102.3,102.5,103.3
1972-73   ,217,,1972-73   ,207,223,,2013-14   ,112.6,111.8,112.2,115.6
1973-74   ,263,,1973-74   ,250,279,,2014-15   ,119.5,118.1,118.9,123.1
1974-75   ,354,,1974-75   ,317,358,,2015-16   ,126.1,123,124.7,129.4
1975-76   ,340,,1975-76   ,313,342,,2016-17   ,132.4,127.9,130.3,135.2
1976-77   ,293,,1976-77   ,301,317,,2017-18   ,137.2,132.5,135,138.1
1977-78   ,324,,1977-78   ,324,345,,2018-19   ,141.3,137.7,139.6,139.1
1978-79   ,317,,1978-79   ,331,347,,2019-20   ,147.3,145.1,146.3,147.5
1979-80   ,346,,1979-80   ,360,373,,2020-21   ,156.1,154.4,155.3,158.3
1980-81   ,395,,1980-81   ,401,419,,2021-22   ,164.5,163.1,163.8,165
1981-82   ,444,,1981-82   ,451,476,,2022-23   ,175.8,173.5,174.7,176
1982-83   ,467,,1982-83   ,486,508,,2023-24   ,185.6,182.4,184.1,188.4
1983-84   ,520,,1983-84   ,547,581,,2024-25   ,194.9,190,192.6,201.1
1984-85   ,521,,1984-85   ,582,122,,,,,,
1985-86   ,546,,1985-86   ,620,128,,,,,,
1986-87   ,572,,1986-87   ,674,141,,,,,,
1987-88   ,629,,1987-88   ,736,154,,,,,,
1988-89   ,708,,,(Base : 1982 =100 for IW),,,,,,,
1989-90   ,747,,1983-84   ,111,117,,,,,,
1990-91   ,803,,1984-85   ,118,122,,,,,,
1991-92   ,958,,1985-86   ,126,128,,,,,,
1992-93   ,1076,,1986-87   ,137,141,,,,,,
1993-94   ,1114,,1987-88   ,149,154,,,,,,
1994-95   ,1247,,1988-89   ,163,165,,,,,,
,(Base : 1986-87 = 100 for AL),,1989-90   ,173,177,,,,,,
1995-96   ,234,,1990-91   ,193,199,,,,,,
1996-97   ,256,,1991-92   ,219,230,,,,,,
1997-98   ,264,,1992-93   ,240,254,,,,,,
1998-99   ,293,,1993-94   ,258,272,,,,,,
1999-00   ,306,,1994-95   ,284,304,,,,,,
2000-01   ,305,,1995-96   ,313,337,,,,,,
2001-02   ,309,,1996-97   ,342,369,,,,,,
2002-03   ,319,,1997-98   ,366,388,,,,,,
2003-04   ,331,,1998-99   ,414,445,,,,,,
2004-05   ,340,,1999-00   ,428,446,,,,,,
2005-06   ,353,,2000-01   ,444,453,,,,,,
2006-07   ,380,,2001-02   ,463,466,,,,,,
2007-08   ,409,,2002-03   ,482,477,,,,,,
2008-09   ,450,,2003-04   ,500,495,,,,,,
2009-10   ,513,,2004-05   ,520,506,,,,,,
2010-11   ,564,,,(Base : 2001 = 100 for IW),,,,,,,
2011-12   ,611,,2005-06   ,117,115,,,,,,
2012-13   ,672,,2006-07   ,125,126,,,,,,
2013-14   ,750,,2007-08   ,133,136,,,,,,
2014-15   ,800,,2008-09   ,145,153,,,,,,
2015-16   ,835,,2009-10   ,163,176,,,,,,
2016-17   ,870,,2010-11   ,180,194,,,,,,
2017-18   ,889,,2011-12   ,195,206,,,,,,
2018-19   ,907,,2012-13   ,215,230,,,,,,
2019-20   ,980,,2013-14   ,236,259,,,,,,
2020-21   ,1034,,2014-15   ,251,276,,,,,,
2021-22   ,1075,,2015-16   ,265,293,,,,,,
2022-23   ,1148,,2016-17   ,276,305,,,,,,
2023-24   ,1229,,2017-18   ,284,310,,,,,,
2024-25   ,1299,,2018-19   ,300,312,,,,,,
,,,2019-20   ,323,335,,,,,,
,,,,Base 2016=100,,,,,,,
,,,2020-21   ,118,118,,,,,,
,,,2021-22   ,124,124,,,,,,
,,,2022-23   ,131,131,,,,,,
,,,2023-24   ,138,141,,,,,,
,,,2024-25   ,143,149,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
