Year_AL,CPI_AL,Empty1,Year_IW,CPI_IW,CPI_IW_Food,Empty2,Year_New,Rural,Urban,Combined,Food_Beverages
1970-71   ,194.0,,1970-71   ,186.0,202.0,,2011-12   ,92.8,93.8,93.3,92.9
1971-72   ,196.0,,1971-72   ,192.0,205.0,,2012-13   ,102.7,102.3,102.5,103.3
1972-73   ,217.0,,1972-73   ,207.0,223.0,,2013-14   ,112.6,111.8,112.2,115.6
1973-74   ,263.0,,1973-74   ,250.0,279.0,,2014-15   ,119.5,118.1,118.9,123.1
1974-75   ,354.0,,1974-75   ,317.0,358.0,,2015-16   ,126.1,123.0,124.7,129.4
1975-76   ,340.0,,1975-76   ,313.0,342.0,,2016-17   ,132.4,127.9,130.3,135.2
1976-77   ,293.0,,1976-77   ,301.0,317.0,,2017-18   ,137.2,132.5,135.0,138.1
1977-78   ,324.0,,1977-78   ,324.0,345.0,,2018-19   ,141.3,137.7,139.6,139.1
1978-79   ,317.0,,1978-79   ,331.0,347.0,,2019-20   ,147.3,145.1,146.3,147.5
1979-80   ,346.0,,1979-80   ,360.0,373.0,,2020-21   ,156.1,154.4,155.3,158.3
1980-81   ,395.0,,1980-81   ,401.0,419.0,,2021-22   ,164.5,163.1,163.8,165.0
1981-82   ,444.0,,1981-82   ,451.0,476.0,,2022-23   ,175.8,173.5,174.7,176.0
1982-83   ,467.0,,1982-83   ,486.0,508.0,,2023-24   ,185.6,182.4,184.1,188.4
1983-84   ,520.0,,1983-84   ,547.0,581.0,,2024-25   ,194.9,190.0,192.6,201.1
1984-85   ,521.0,,1984-85   ,582.0,122.0,,,,,,
1985-86   ,546.0,,1985-86   ,620.0,128.0,,,,,,
1986-87   ,572.0,,1986-87   ,674.0,141.0,,,,,,
1987-88   ,629.0,,1987-88   ,736.0,154.0,,,,,,
1988-89   ,708.0,,,,,,,,,,
1989-90   ,747.0,,1983-84   ,111.0,117.0,,,,,,
1990-91   ,803.0,,1984-85   ,118.0,122.0,,,,,,
1991-92   ,958.0,,1985-86   ,126.0,128.0,,,,,,
1992-93   ,1076.0,,1986-87   ,137.0,141.0,,,,,,
1993-94   ,1114.0,,1987-88   ,149.0,154.0,,,,,,
1994-95   ,1247.0,,1988-89   ,163.0,165.0,,,,,,
,,,1989-90   ,173.0,177.0,,,,,,
1995-96   ,234.0,,1990-91   ,193.0,199.0,,,,,,
1996-97   ,256.0,,1991-92   ,219.0,230.0,,,,,,
1997-98   ,264.0,,1992-93   ,240.0,254.0,,,,,,
1998-99   ,293.0,,1993-94   ,258.0,272.0,,,,,,
1999-00   ,306.0,,1994-95   ,284.0,304.0,,,,,,
2000-01   ,305.0,,1995-96   ,313.0,337.0,,,,,,
2001-02   ,309.0,,1996-97   ,342.0,369.0,,,,,,
2002-03   ,319.0,,1997-98   ,366.0,388.0,,,,,,
2003-04   ,331.0,,1998-99   ,414.0,445.0,,,,,,
2004-05   ,340.0,,1999-00   ,428.0,446.0,,,,,,
2005-06   ,353.0,,2000-01   ,444.0,453.0,,,,,,
2006-07   ,380.0,,2001-02   ,463.0,466.0,,,,,,
2007-08   ,409.0,,2002-03   ,482.0,477.0,,,,,,
2008-09   ,450.0,,2003-04   ,500.0,495.0,,,,,,
2009-10   ,513.0,,2004-05   ,520.0,506.0,,,,,,
2010-11   ,564.0,,,,,,,,,,
2011-12   ,611.0,,2005-06   ,117.0,115.0,,,,,,
2012-13   ,672.0,,2006-07   ,125.0,126.0,,,,,,
2013-14   ,750.0,,2007-08   ,133.0,136.0,,,,,,
2014-15   ,800.0,,2008-09   ,145.0,153.0,,,,,,
2015-16   ,835.0,,2009-10   ,163.0,176.0,,,,,,
2016-17   ,870.0,,2010-11   ,180.0,194.0,,,,,,
2017-18   ,889.0,,2011-12   ,195.0,206.0,,,,,,
2018-19   ,907.0,,2012-13   ,215.0,230.0,,,,,,
2019-20   ,980.0,,2013-14   ,236.0,259.0,,,,,,
2020-21   ,1034.0,,2014-15   ,251.0,276.0,,,,,,
2021-22   ,1075.0,,2015-16   ,265.0,293.0,,,,,,
2022-23   ,1148.0,,2016-17   ,276.0,305.0,,,,,,
2023-24   ,1229.0,,2017-18   ,284.0,310.0,,,,,,
2024-25   ,1299.0,,2018-19   ,300.0,312.0,,,,,,
,,,2019-20   ,323.0,335.0,,,,,,
,,,,,,,,,,,
,,,2020-21   ,118.0,118.0,,,,,,
,,,2021-22   ,124.0,124.0,,,,,,
,,,2022-23   ,131.0,131.0,,,,,,
,,,2023-24   ,138.0,141.0,,,,,,
,,,2024-25   ,143.0,149.0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
