Year,GVA at Basic Prices,Net taxes on products,Gross Domestic Product,Consumption of Fixed Capital,Net Domestic Product,Primary income receivable from ROW (net),Gross National Income,Net National Income,Gross Capital Formation,Net Capital Formation,Per Capita GDP (₹),Per Capita GNI (₹),Per Capita NNI (₹),Per Capita PFCE (₹)
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2024-25   ,"1,71,87,446","16,09,509","1,87,96,955",-,"1,64,25,021",-,"1,85,23,133","1,61,51,199",-,-,"1,33,501","1,31,556","1,14,710","75,423"
2023-24   ,"1,61,51,477","14,99,114","1,76,50,591","22,28,967","1,54,21,624","-2,45,953","1,74,04,638","1,51,75,671","61,14,637","38,85,671","1,26,528","1,24,764","1,08,786","71,016"
2022-23   ,"1,48,78,028","12,86,885","1,61,64,913","20,87,964","1,40,76,950","-2,25,538","1,59,39,376","1,38,51,412","56,97,956","36,09,992","1,16,892","1,15,261","1,00,163","67,865"
2021-22   ,"1,38,76,840","11,45,006","1,50,21,846","19,55,788","1,30,66,058","-1,93,926","1,48,27,920","1,28,72,132","55,07,561","35,51,773","1,09,762","1,08,345","94,054","63,807"
2020-21   ,"1,26,87,345","10,07,525","1,36,94,869","18,32,759","1,18,62,110","-2,00,893","1,34,93,976","1,16,61,217","43,92,164","25,59,405","1,01,038","99,556","86,034","57,691"
2019-20   ,"1,32,36,100","12,98,540","1,45,34,641","17,31,178","1,28,03,462","-1,41,741","1,43,92,900","1,26,61,722","49,10,593","31,79,415","1,08,387","1,07,330","94,420","61,568"
2018-19   ,"1,27,33,798","12,59,116","1,39,92,914","16,14,455","1,23,78,459","-1,52,440","1,38,40,474","1,22,26,019","52,25,982","36,11,527","1,05,448","1,04,299","92,133","59,159"
2017-18   ,"1,20,34,171","11,10,412","1,31,44,582","14,89,921","1,16,54,661","-1,45,888","1,29,98,695","1,15,08,774","42,89,515","27,99,595","1,00,035","98,925","87,586","55,789"
2016-17   ,"1,13,28,285","9,79,909","1,23,08,193","13,81,526","1,09,26,667","-1,44,575","1,21,63,619","1,07,82,092","43,00,879","29,19,353","94,751","93,638","83,003","53,120"
2015-16   ,"1,04,91,870","8,77,623","1,13,69,493","12,70,890","1,00,98,603","-1,34,922","1,12,34,571","99,63,681","39,17,358","26,46,468","88,616","87,565","77,659","49,738"
2014-15   ,"97,12,133","8,15,541","1,05,27,674","11,78,644","93,49,029","-1,24,687","1,04,02,987","92,24,343","36,59,763","24,81,119","83,091","82,107","72,805","46,667"
